8-1, time: 2729, pathlen: 9364, saved: 16
14-1, time: 2839, pathlen: 9212, saved: 168
22-1, time: 2351, pathlen: 9372, saved: 8
28-1, time: 2438, pathlen: 9356, saved: 24
32-1, time: 2386, pathlen: 8920, saved: 460
40-1, time: 2471, pathlen: 9380, saved: 0
41-1, time: 2745, pathlen: 9380, saved: 0
42-1, time: 2957, pathlen: 9380, saved: 0
46-1, time: 2816, pathlen: 9380, saved: 0
47-1, time: 2811, pathlen: 9380, saved: 0
48-1, time: 2789, pathlen: 9380, saved: 0
52-1, time: 2673, pathlen: 9380, saved: 0
53-1, time: 2898, pathlen: 9380, saved: 0
54-1, time: 2796, pathlen: 9380, saved: 0
58-1, time: 2925, pathlen: 9376, saved: 4
62-1, time: 2817, pathlen: 9376, saved: 4
66-1, time: 2908, pathlen: 9380, saved: 0
67-1, time: 2945, pathlen: 9380, saved: 0
68-1, time: 3098, pathlen: 9380, saved: 0
72-1, time: 2746, pathlen: 9344, saved: 36
88-1, time: 2968, pathlen: 9380, saved: 0
89-1, time: 2695, pathlen: 9380, saved: 0
90-1, time: 2803, pathlen: 9380, saved: 0
94-1, time: 2625, pathlen: 9380, saved: 0
95-1, time: 3017, pathlen: 9380, saved: 0
96-1, time: 2859, pathlen: 9380, saved: 0
108-1, time: 2860, pathlen: 9052, saved: 328
122-1, time: 2863, pathlen: 9332, saved: 48
126-1, time: 2874, pathlen: 9376, saved: 4
132-1, time: 2876, pathlen: 9332, saved: 48
138-1, time: 2806, pathlen: 9380, saved: 0
139-1, time: 2915, pathlen: 9380, saved: 0
2-2, time: 2878, pathlen: 9378, saved: 2
3-2, time: 2773, pathlen: 9376, saved: 4
4-2, time: 2854, pathlen: 9374, saved: 6
5-2, time: 2789, pathlen: 9372, saved: 8
6-2, time: 2826, pathlen: 9380, saved: 0
8-2, time: 2812, pathlen: 9366, saved: 14
10-2, time: 2809, pathlen: 9378, saved: 2
11-2, time: 2719, pathlen: 9376, saved: 4
12-2, time: 2864, pathlen: 9380, saved: 0
14-2, time: 2716, pathlen: 9214, saved: 166
16-2, time: 2814, pathlen: 9378, saved: 2
17-2, time: 2742, pathlen: 9376, saved: 4
18-2, time: 2849, pathlen: 9374, saved: 6
19-2, time: 2880, pathlen: 9372, saved: 8
20-2, time: 2789, pathlen: 9380, saved: 0
22-2, time: 2841, pathlen: 9374, saved: 6
24-2, time: 2785, pathlen: 9380, saved: 0
25-2, time: 2728, pathlen: 9376, saved: 4
26-2, time: 2760, pathlen: 9378, saved: 2
28-2, time: 2750, pathlen: 9358, saved: 22
30-2, time: 2940, pathlen: 9378, saved: 2
32-2, time: 2754, pathlen: 8922, saved: 458
34-2, time: 2812, pathlen: 9378, saved: 2
35-2, time: 2852, pathlen: 9376, saved: 4
36-2, time: 2875, pathlen: 9374, saved: 6
37-2, time: 2826, pathlen: 9372, saved: 8
38-2, time: 2912, pathlen: 9380, saved: 0
40-2, time: 2846, pathlen: 9380, saved: 0
41-2, time: 2923, pathlen: 9380, saved: 0
42-2, time: 2743, pathlen: 9380, saved: 0
44-2, time: 2818, pathlen: 9378, saved: 2
46-2, time: 2719, pathlen: 9380, saved: 0
47-2, time: 2812, pathlen: 9380, saved: 0
48-2, time: 2909, pathlen: 9380, saved: 0
50-2, time: 2830, pathlen: 9378, saved: 2
52-2, time: 2874, pathlen: 9380, saved: 0
53-2, time: 2969, pathlen: 9380, saved: 0
54-2, time: 2832, pathlen: 9380, saved: 0
56-2, time: 2822, pathlen: 9378, saved: 2
58-2, time: 2835, pathlen: 9378, saved: 2
60-2, time: 2959, pathlen: 9378, saved: 2
62-2, time: 2774, pathlen: 9378, saved: 2
64-2, time: 2796, pathlen: 9378, saved: 2
66-2, time: 2720, pathlen: 9380, saved: 0
67-2, time: 2853, pathlen: 9380, saved: 0
68-2, time: 3008, pathlen: 9380, saved: 0
70-2, time: 2784, pathlen: 9378, saved: 2
72-2, time: 2836, pathlen: 9346, saved: 34
74-2, time: 2841, pathlen: 9380, saved: 0
75-2, time: 2743, pathlen: 9372, saved: 8
76-2, time: 2844, pathlen: 9370, saved: 10
77-2, time: 2620, pathlen: 9368, saved: 12
78-2, time: 3052, pathlen: 9380, saved: 0
79-2, time: 2704, pathlen: 9364, saved: 16
80-2, time: 2924, pathlen: 9366, saved: 14
81-2, time: 2811, pathlen: 9368, saved: 12
82-2, time: 2866, pathlen: 9370, saved: 10
83-2, time: 2948, pathlen: 9372, saved: 8
84-2, time: 2821, pathlen: 9374, saved: 6
85-2, time: 2747, pathlen: 9376, saved: 4
86-2, time: 2899, pathlen: 9378, saved: 2
88-2, time: 2790, pathlen: 9380, saved: 0
89-2, time: 2755, pathlen: 9380, saved: 0
90-2, time: 2686, pathlen: 9380, saved: 0
92-2, time: 2736, pathlen: 9378, saved: 2
94-2, time: 2519, pathlen: 9380, saved: 0
95-2, time: 2568, pathlen: 9380, saved: 0
96-2, time: 2477, pathlen: 9380, saved: 0
98-2, time: 2624, pathlen: 9380, saved: 0
99-2, time: 2491, pathlen: 9364, saved: 16
100-2, time: 2588, pathlen: 9366, saved: 14
101-2, time: 2530, pathlen: 9368, saved: 12
102-2, time: 2633, pathlen: 9370, saved: 10
103-2, time: 2515, pathlen: 9372, saved: 8
